"","Aug","Dec","Jul","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","num_collisions","slp","visib","gust","prcp","fog"
"155",0,1,0,0,0,0,0,1,0,0,0,0,0,2012,42,40.4,649,1011.3,5.6,28,0.44,0
"156",0,1,0,0,0,0,0,1,0,0,0,0,0,2012,31.5,17.2,482,1019.6,10,35.9,0,0
"157",0,1,0,0,0,0,0,1,0,0,0,0,0,2012,37,19.8,518,1016.1,10,22,0,0
"158",0,1,0,0,0,0,0,1,0,0,0,0,0,2012,53.5,45.3,621,1021.4,7,999.9,0.04,0
"159",0,1,0,0,0,0,0,0,0,0,0,1,0,2012,37.5,32.5,354,1016.2,6.8,25.1,0.01,0
"160",0,1,0,0,0,0,0,0,0,0,0,1,0,2012,51.9,47.1,621,1022.8,5.6,999.9,0.04,1
"161",0,1,0,0,0,0,0,0,0,0,0,1,0,2012,47.3,44.5,645,1000.3,5.3,22,0.34,0
"162",0,1,0,0,0,0,0,0,0,0,0,1,0,2012,50.1,43.2,578,1013.2,7.3,26,0.23,1
"163",0,1,0,0,0,0,0,0,0,0,0,0,1,2012,52.6,41.5,514,1016.3,9.1,28,0.01,0
"164",0,1,0,0,0,0,0,0,0,0,0,0,1,2012,40.1,23.6,550,1026,10,19,0.01,0
"165",0,1,0,0,0,0,0,0,0,0,0,0,1,2012,44,30.5,590,1007.4,10,34,0.07,0
"166",0,1,0,0,0,0,0,0,0,0,0,0,1,2012,32.2,25.3,531,1022.1,8.8,29.9,0.13,1
"167",0,1,0,0,0,0,0,0,0,0,1,0,0,2012,39.8,29,606,1020.3,10,29.9,0.02,0
"168",0,1,0,0,0,0,0,0,0,0,1,0,0,2012,35,16.8,620,1025.5,10,27,0.01,0
"169",0,1,0,0,0,0,0,0,0,0,1,0,0,2012,40.3,24.6,545,1029.8,10,999.9,0,0
"170",0,1,0,0,0,0,0,0,0,0,1,0,0,2012,39.1,37.1,525,996.6,6,53,0.84,1
"171",0,1,0,0,0,0,1,0,0,0,0,0,0,2012,47.3,42.9,751,996.6,7.1,42.9,0.56,0
"172",0,1,0,0,0,0,1,0,0,0,0,0,0,2012,33,22.4,557,1015.3,9.4,34,0.37,0
